sample_id,timestep,throughput_mbps,channel_occupancy_percent,tx_retry_ratio,rssi_dbm,rssi_delta_db,rssi_moving_avg_dbm,label,scenario
0,0,0.0023612036084034635,0.12548577159333082,0.0,0.46160302140159465,0.5344024831867564,0.4687327061427781,0,idle
0,1,0.004722407216806927,0.16723078851698636,0.05556169225671048,0.47545111204364243,0.5514743921365753,0.4748201438848921,0,idle
0,2,0.0012714173276018649,0.08361539425849317,0.04562023638572849,0.47545111204364243,0.5344024831867564,0.4775871610403983,0,idle
0,3,0.0023006599261367077,0.08361539425849317,0.033248646857395335,0.47545111204364243,0.5344024831867564,0.4798007747648033,0,idle
0,4,0.002179572561603197,0.08361539425849317,0.026510548989285322,0.47545111204364243,0.5344024831867564,0.48312119535141107,0,idle
0,5,0.004177514076406127,0.08361539425849317,0.03214404064950845,0.5035669324381032,0.5690636316606312,0.4941892639734367,0,idle
0,6,0.002179572561603197,0.08361539425849317,0.006848558488898707,0.5035669324381032,0.5344024831867564,0.5019369120088546,0,idle
0,7,0.0022401162438699523,0.12536041118214866,0.010272837733348061,0.5035669324381032,0.5344024831867564,0.5091311566131709,0,idle
0,8,0.00320881516013804,0.12536041118214866,0.02805699768032696,0.5035669324381032,0.5344024831867564,0.5163254012174876,0,idle
0,9,0.0022401162438699523,0.12536041118214866,0.027836076438749587,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
1,0,0.0012714173276018649,0.08361539425849317,0.04562023638572849,0.47545111204364243,0.5344024831867564,0.4775871610403983,0,idle
1,1,0.0023006599261367077,0.08361539425849317,0.033248646857395335,0.47545111204364243,0.5344024831867564,0.4798007747648033,0,idle
1,2,0.002179572561603197,0.08361539425849317,0.026510548989285322,0.47545111204364243,0.5344024831867564,0.48312119535141107,0,idle
1,3,0.004177514076406127,0.08361539425849317,0.03214404064950845,0.5035669324381032,0.5690636316606312,0.4941892639734367,0,idle
1,4,0.002179572561603197,0.08361539425849317,0.006848558488898707,0.5035669324381032,0.5344024831867564,0.5019369120088546,0,idle
1,5,0.0022401162438699523,0.12536041118214866,0.010272837733348061,0.5035669324381032,0.5344024831867564,0.5091311566131709,0,idle
1,6,0.00320881516013804,0.12536041118214866,0.02805699768032696,0.5035669324381032,0.5344024831867564,0.5163254012174876,0,idle
1,7,0.0022401162438699523,0.12536041118214866,0.027836076438749587,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
1,8,0.002603378337470485,0.12536041118214866,0.02242350602010383,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
1,9,0.0022401162438699523,0.04187037733483768,0.022313045399315144,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
2,0,0.0023006599261367077,0.08361539425849317,0.033248646857395335,0.47545111204364243,0.5344024831867564,0.4798007747648033,0,idle
2,1,0.002179572561603197,0.08361539425849317,0.026510548989285322,0.47545111204364243,0.5344024831867564,0.48312119535141107,0,idle
2,2,0.004177514076406127,0.08361539425849317,0.03214404064950845,0.5035669324381032,0.5690636316606312,0.4941892639734367,0,idle
2,3,0.002179572561603197,0.08361539425849317,0.006848558488898707,0.5035669324381032,0.5344024831867564,0.5019369120088546,0,idle
2,4,0.0022401162438699523,0.12536041118214866,0.010272837733348061,0.5035669324381032,0.5344024831867564,0.5091311566131709,0,idle
2,5,0.00320881516013804,0.12536041118214866,0.02805699768032696,0.5035669324381032,0.5344024831867564,0.5163254012174876,0,idle
2,6,0.0022401162438699523,0.12536041118214866,0.027836076438749587,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
2,7,0.002603378337470485,0.12536041118214866,0.02242350602010383,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
2,8,0.0022401162438699523,0.04187037733483768,0.022313045399315144,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
2,9,0.0022401162438699523,0.04187037733483768,0.018446923671711035,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
3,0,0.002179572561603197,0.08361539425849317,0.006848558488898707,0.5035669324381032,0.5344024831867564,0.5019369120088546,0,idle
3,1,0.0022401162438699523,0.12536041118214866,0.010272837733348061,0.5035669324381032,0.5344024831867564,0.5091311566131709,0,idle
3,2,0.00320881516013804,0.12536041118214866,0.02805699768032696,0.5035669324381032,0.5344024831867564,0.5163254012174876,0,idle
3,3,0.0022401162438699523,0.12536041118214866,0.027836076438749587,0.5035669324381032,0.5344024831867564,0.5240730492529054,0,idle
