sample_id,scenario,scenario_id,true_label,channel_occupancy_variance,fixed_pred,fixed_exit_point,fixed_theta_1,dynamic_pred,dynamic_exit_point,dynamic_theta_1
2,imbalanced_ap_load,3,1,0.285894,1,2,0.3,1,2,0.375
4,imbalanced_ap_load,3,1,0.264712,1,1,0.3,1,1,0.375
6,imbalanced_ap_load,3,2,0.162354,2,2,0.3,2,2,0.375
12,imbalanced_ap_load,3,0,0.319675,0,2,0.3,0,2,0.3
14,imbalanced_ap_load,3,2,0.300567,2,2,0.3,2,2,0.3
15,imbalanced_ap_load,3,0,0.264413,0,3,0.3,0,3,0.3
20,imbalanced_ap_load,3,2,0.245356,2,2,0.3,2,2,0.375
26,imbalanced_ap_load,3,1,0.280189,1,2,0.3,1,1,0.375
34,imbalanced_ap_load,3,1,0.270083,1,2,0.3,1,2,0.3
35,imbalanced_ap_load,3,1,0.263506,1,2,0.3,1,2,0.375
40,imbalanced_ap_load,3,1,0.167861,1,2,0.3,1,1,0.375
45,imbalanced_ap_load,3,0,0.236799,0,2,0.3,0,2,0.375
46,imbalanced_ap_load,3,1,0.300153,1,1,0.3,1,1,0.375
47,imbalanced_ap_load,3,1,0.29846,1,2,0.3,1,2,0.3
49,imbalanced_ap_load,3,2,0.248822,2,3,0.3,2,3,0.3
52,imbalanced_ap_load,3,1,0.244158,1,2,0.3,1,2,0.3
54,imbalanced_ap_load,3,1,0.223646,1,1,0.3,1,1,0.375
55,imbalanced_ap_load,3,1,0.256406,1,2,0.3,1,2,0.3
63,imbalanced_ap_load,3,2,0.346857,2,2,0.3,2,2,0.3
67,imbalanced_ap_load,3,2,0.232646,2,2,0.3,2,2,0.375
68,imbalanced_ap_load,3,0,0.353319,0,2,0.3,0,2,0.3
74,imbalanced_ap_load,3,1,0.172403,1,2,0.3,1,2,0.375
79,imbalanced_ap_load,3,1,0.265615,1,1,0.3,1,1,0.3
80,imbalanced_ap_load,3,2,0.324913,2,2,0.3,2,2,0.375
83,imbalanced_ap_load,3,0,0.34007,1,3,0.3,1,3,0.3
85,imbalanced_ap_load,3,1,0.229282,1,1,0.3,1,1,0.375
86,imbalanced_ap_load,3,1,0.247648,2,3,0.3,2,2,0.375
88,imbalanced_ap_load,3,2,0.262919,2,3,0.3,2,3,0.3
89,imbalanced_ap_load,3,2,0.252274,2,2,0.3,2,2,0.3
91,imbalanced_ap_load,3,1,0.350209,1,2,0.3,1,2,0.3
94,imbalanced_ap_load,3,2,0.289647,2,2,0.3,2,2,0.375
100,imbalanced_ap_load,3,1,0.233606,1,1,0.3,1,1,0.375
102,imbalanced_ap_load,3,2,0.283955,2,2,0.3,2,2,0.3
112,imbalanced_ap_load,3,2,0.336882,2,2,0.3,2,2,0.3
116,imbalanced_ap_load,3,2,0.250631,2,2,0.3,2,2,0.3
118,imbalanced_ap_load,3,2,0.312266,2,2,0.3,2,2,0.3
120,imbalanced_ap_load,3,1,0.301366,1,2,0.3,1,2,0.3
121,imbalanced_ap_load,3,1,0.265196,1,2,0.3,1,2,0.3
122,imbalanced_ap_load,3,1,0.296906,1,2,0.3,1,2,0.375
128,imbalanced_ap_load,3,0,0.260078,0,2,0.3,0,2,0.3
130,imbalanced_ap_load,3,2,0.251572,2,2,0.3,2,2,0.375
132,imbalanced_ap_load,3,1,0.306193,1,2,0.3,1,2,0.3
138,imbalanced_ap_load,3,1,0.218343,1,2,0.3,1,2,0.3
141,imbalanced_ap_load,3,2,0.349682,2,2,0.3,2,2,0.3
146,imbalanced_ap_load,3,1,0.341859,1,3,0.3,1,2,0.375
154,imbalanced_ap_load,3,1,0.250239,1,1,0.3,1,1,0.3
160,imbalanced_ap_load,3,0,0.216655,0,1,0.3,0,1,0.375
166,imbalanced_ap_load,3,0,0.308466,0,2,0.3,0,2,0.3
175,imbalanced_ap_load,3,1,0.265825,1,1,0.3,1,1,0.375
180,imbalanced_ap_load,3,0,0.347318,0,2,0.3,0,2,0.375
185,imbalanced_ap_load,3,2,0.263156,2,2,0.3,2,2,0.375
201,imbalanced_ap_load,3,2,0.36658,2,2,0.3,2,2,0.375
