sample_id,scenario,scenario_id,true_label,channel_occupancy_variance,fixed_pred,fixed_exit_point,fixed_theta_1,dynamic_pred,dynamic_exit_point,dynamic_theta_1
0,startup_surge,0,2,0.312253,2,2,0.3,2,2,0.375
16,startup_surge,0,0,0.257509,0,2,0.3,0,2,0.3
18,startup_surge,0,2,0.305273,2,2,0.3,2,2,0.3
29,startup_surge,0,1,0.209947,1,1,0.3,1,1,0.3
31,startup_surge,0,1,0.201552,1,2,0.3,1,2,0.3
33,startup_surge,0,1,0.255466,1,2,0.3,1,2,0.3
37,startup_surge,0,2,0.337126,2,2,0.3,2,2,0.3
38,startup_surge,0,1,0.294055,1,2,0.3,1,2,0.3
42,startup_surge,0,2,0.280655,2,2,0.3,2,2,0.375
44,startup_surge,0,1,0.279812,1,1,0.3,1,1,0.3
48,startup_surge,0,1,0.298852,1,1,0.3,1,1,0.3
50,startup_surge,0,2,0.263826,2,2,0.3,2,2,0.3
51,startup_surge,0,1,0.304589,1,2,0.3,1,2,0.375
58,startup_surge,0,2,0.285422,2,2,0.3,2,2,0.375
65,startup_surge,0,2,0.338531,2,2,0.3,2,2,0.3
70,startup_surge,0,1,0.234894,1,2,0.3,1,2,0.375
73,startup_surge,0,3,0.381106,3,2,0.3,3,2,0.3
96,startup_surge,0,2,0.387362,2,2,0.3,2,2,0.3
98,startup_surge,0,2,0.285561,2,2,0.3,2,2,0.3
99,startup_surge,0,2,0.239797,2,2,0.3,2,2,0.3
104,startup_surge,0,1,0.327747,1,1,0.3,1,1,0.3
107,startup_surge,0,0,0.316016,0,2,0.3,0,2,0.3
109,startup_surge,0,3,0.24621,3,2,0.3,3,2,0.375
111,startup_surge,0,1,0.303467,1,2,0.3,1,2,0.3
113,startup_surge,0,1,0.29957,1,1,0.3,1,1,0.3
117,startup_surge,0,1,0.345821,1,2,0.3,1,2,0.3
119,startup_surge,0,2,0.313868,2,2,0.3,2,2,0.375
123,startup_surge,0,2,0.293871,2,2,0.3,2,2,0.3
124,startup_surge,0,1,0.360687,1,2,0.3,1,2,0.3
129,startup_surge,0,2,0.202774,2,3,0.3,2,3,0.3
131,startup_surge,0,2,0.30785,2,2,0.3,2,2,0.3
143,startup_surge,0,1,0.256309,1,1,0.3,1,1,0.375
149,startup_surge,0,2,0.277053,2,2,0.3,2,2,0.375
151,startup_surge,0,1,0.300488,1,2,0.3,1,2,0.3
