sample_id,timestep,rps,channel_occupancy,packet_loss,latency,label,scenario,scenario_id
11,0,0.9320051459655808,0.1456845222714744,0.4854223587837487,0.6040364076809948,1,lunch_restart,2
11,1,0.0671323706163584,0.5529665566366027,0.830421870483225,0.325996275772897,1,lunch_restart,2
11,2,0.7506788579161511,0.6486819518126044,0.950914785783696,0.984958388223843,1,lunch_restart,2
11,3,0.4434322165935133,0.3900713109091469,0.6344023017435018,0.6682576251299399,1,lunch_restart,2
11,4,0.6343181595605453,0.4984557317244267,0.3539194105099137,0.0438569826035376,1,lunch_restart,2
11,5,0.7902696290097133,0.8756878327372646,0.6034602212814424,0.3270385451877357,1,lunch_restart,2
11,6,0.2006292233865439,0.1083461874198183,0.3119947352522371,0.624157589895457,1,lunch_restart,2
11,7,0.3495528440808041,0.7917398343762865,0.910106878836732,0.0563613580342112,1,lunch_restart,2
11,8,0.4995125577585669,0.1705579760157649,0.8706645897699552,0.0238656236750175,1,lunch_restart,2
11,9,0.6537969302267608,0.0364674760678211,0.5583445455969672,0.4506182786348494,1,lunch_restart,2
19,0,0.0246770416930048,0.0617428101512076,0.2320886242899978,0.7518166428783885,1,lunch_restart,2
19,1,0.8685998165970745,0.8881189000829575,0.0007856786416409,0.6455939055158055,1,lunch_restart,2
19,2,0.6091469983351288,0.8689030177090118,0.7573598063470361,0.3557474945789053,1,lunch_restart,2
19,3,0.082947534299018,0.357135474964515,0.9855271079835144,0.0491785984828885,1,lunch_restart,2
19,4,0.0201131133091763,0.8910901082046433,0.8101479242652904,0.0310486196375314,1,lunch_restart,2
19,5,0.3911746245136707,0.5936171052889299,0.4602718934161575,0.5549250277043806,1,lunch_restart,2
19,6,0.963616554339794,0.8059172333035337,0.9040475634271132,0.7630752946196827,1,lunch_restart,2
19,7,0.2778020138709591,0.4273186180674471,0.409888535659181,0.5380988085311089,1,lunch_restart,2
19,8,0.9143392598000374,0.1131829547206577,0.525030737710422,0.8419408576480943,1,lunch_restart,2
19,9,0.7405961485385636,0.4336166729702229,0.4772032465618356,0.0334216832468423,1,lunch_restart,2
22,0,0.926622136555052,0.7237310452241477,0.503663196391264,0.7492615500238604,2,lunch_restart,2
22,1,0.0932439169879185,0.0247807659375969,0.8943301987864828,0.9042959500309796,2,lunch_restart,2
22,2,0.5500385057113095,0.5705786654059841,0.9366388471852248,0.1398685223970446,2,lunch_restart,2
22,3,0.4606484984998353,0.8842317155033438,0.807604511368093,0.0962111366338522,2,lunch_restart,2
22,4,0.8448631600502132,0.0171419045969181,0.6357437802992802,0.4251300577539375,2,lunch_restart,2
22,5,0.7255188255090321,0.4050623589421542,0.3037103686334751,0.9349682333623812,2,lunch_restart,2
22,6,0.3208471701640834,0.9262784701605336,0.983263606937348,0.5431133767292938,2,lunch_restart,2
22,7,0.2808913738303612,0.3530176061232859,0.2741112402922331,0.5281618171807129,2,lunch_restart,2
22,8,0.2169674415291887,0.4586266284775817,0.2025973437948048,0.1412760942978098,2,lunch_restart,2
22,9,0.923825464516876,0.9816105413158672,0.4422106376572529,0.000737743197012,2,lunch_restart,2
24,0,0.485831901425379,0.8358277554167595,0.0319212396127299,0.078758808656831,1,lunch_restart,2
24,1,0.9490745274703752,0.7385490127081311,0.6124503005242674,0.604570182097966,1,lunch_restart,2
24,2,0.3978385609102483,0.2649833636051129,0.7163632385462886,0.1641144816341186,1,lunch_restart,2
24,3,0.91692559717239,0.016646354387048,0.4167932687796853,0.7369586434401697,1,lunch_restart,2
24,4,0.6308904835248974,0.4796048398531355,0.7575048683990602,0.3016114334171728,1,lunch_restart,2
24,5,0.9601298955671692,0.8589412845259607,0.226953522669533,0.4640042635970873,1,lunch_restart,2
24,6,0.8322809180829943,0.8958757358682514,0.2212260392062623,0.6002393633640408,1,lunch_restart,2
24,7,0.154652736353843,0.9562870486711365,0.1613374174346272,0.1714667255504088,1,lunch_restart,2
