sample_id,timestep,throughput_mbps,channel_occupancy_percent,tx_retry_ratio,rssi_dbm,rssi_delta_db,rssi_moving_avg_dbm,sta_tx_bitrate_mean,label,scenario
0,0,0.002586740145082382,0.1150568181818182,0.0,0.3157894736842105,0.5375,0.5687573042462019,0.08666666666666667,0,step_run1
0,1,0.0021368722937637067,0.0952888257575758,0.0,0.3157894736842105,0.5375,0.5687573042462019,0.09,0,step_run1
0,2,0.001180903109711522,0.0952888257575758,0.0,0.3157894736842105,0.5375,0.5687573042462019,0.21666666666666667,0,step_run1
0,3,0.0028116740707417195,0.0952888257575758,0.0,0.321578947368421,0.541625,0.5714842228282041,0.24066666666666667,0,step_run1
0,4,0.0020806388123488723,0.0952888257575758,0.0,0.321578947368421,0.5375,0.5738215816127776,0.42133333333333334,0,step_run1
0,5,0.0021368722937637067,0.13470643939393942,0.0,0.32754385964912286,0.541625,0.5792754187767823,0.43333333333333335,0,step_run1
0,6,0.002193105775178541,0.13470643939393942,0.0,0.3333333333333333,0.541625,0.5870666147253604,0.48133333333333334,0,step_run1
0,7,0.002193105775178541,0.13470643939393942,0.004741209008297116,0.3333333333333333,0.5375,0.5948578106739385,0.06533333333333334,0,step_run1
0,8,0.0020806388123488723,0.13470643939393942,0.004872909258527592,0.3333333333333333,0.5375,0.5999220880405142,0.19266666666666665,0,step_run1
0,9,0.0,0.13470643939393942,0.0,0.32754385964912286,0.5375,0.5948578106739385,0.0,0,step_run1
0,10,0.007535286509587808,0.13470643939393942,0.0,0.3391228070175438,0.545875,0.6077132839890923,0.9,0,step_run1
0,11,0.012483832874093236,0.13470643939393942,0.021203740287106546,0.3391228070175438,0.5375,0.6119984417608103,0.48133333333333334,0,step_run1
1,0,0.0021368722937637067,0.0952888257575758,0.0,0.3157894736842105,0.5375,0.5687573042462019,0.09,0,step_run1
1,1,0.001180903109711522,0.0952888257575758,0.0,0.3157894736842105,0.5375,0.5687573042462019,0.21666666666666667,0,step_run1
1,2,0.0028116740707417195,0.0952888257575758,0.0,0.321578947368421,0.541625,0.5714842228282041,0.24066666666666667,0,step_run1
1,3,0.0020806388123488723,0.0952888257575758,0.0,0.321578947368421,0.5375,0.5738215816127776,0.42133333333333334,0,step_run1
1,4,0.0021368722937637067,0.13470643939393942,0.0,0.32754385964912286,0.541625,0.5792754187767823,0.43333333333333335,0,step_run1
1,5,0.002193105775178541,0.13470643939393942,0.0,0.3333333333333333,0.541625,0.5870666147253604,0.48133333333333334,0,step_run1
1,6,0.002193105775178541,0.13470643939393942,0.004741209008297116,0.3333333333333333,0.5375,0.5948578106739385,0.06533333333333334,0,step_run1
1,7,0.0020806388123488723,0.13470643939393942,0.004872909258527592,0.3333333333333333,0.5375,0.5999220880405142,0.19266666666666665,0,step_run1
1,8,0.0,0.13470643939393942,0.0,0.32754385964912286,0.5375,0.5948578106739385,0.0,0,step_run1
1,9,0.007535286509587808,0.13470643939393942,0.0,0.3391228070175438,0.545875,0.6077132839890923,0.9,0,step_run1
1,10,0.012483832874093236,0.13470643939393942,0.021203740287106546,0.3391228070175438,0.5375,0.6119984417608103,0.48133333333333334,0,step_run1
1,11,0.0024180397008378785,0.13470643939393942,0.015540629527196101,0.3391228070175438,0.5375,0.6143358005453838,0.09,0,step_run1
2,0,0.001180903109711522,0.0952888257575758,0.0,0.3157894736842105,0.5375,0.5687573042462019,0.21666666666666667,0,step_run1
2,1,0.0028116740707417195,0.0952888257575758,0.0,0.321578947368421,0.541625,0.5714842228282041,0.24066666666666667,0,step_run1
