timestamp,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,latency_ms,jitter_ms,packet_loss_udp_percent,tx_retries_delta,tx_failed_delta,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,scenario,throughput_score,occupancy_score,retry_failed_score,jitter_score,congestion_score,label
2026-08-15 11:31:14,0.0,50.0,instantaneous,0.08,0.046,,0,0,-19.0,1,0.0,-19.0,normal_idle,0.0,0.5,0.0,0.046,0.1796,0.0
2026-08-15 11:31:18,0.3,43.33,instantaneous_fallback,0.078,0.015,,0,0,-20.0,1,-1.0,-19.5,normal_idle,0.002,0.4333,0.0,0.015,0.1539,0.0
2026-08-15 11:31:22,0.07,46.67,instantaneous_fallback,0.084,0.012,,0,0,-20.0,1,0.0,-19.67,normal_idle,0.0005,0.4667,0.0,0.012,0.1647,0.0
2026-08-15 11:31:26,0.08,43.33,instantaneous_fallback,0.087,0.004,,4,4,-20.0,1,0.0,-19.75,normal_idle,0.0005,0.4333,0.08,0.004,0.1682,0.0
2026-08-15 11:31:30,0.05,40.0,instantaneous_fallback,0.056,0.002,,0,0,-20.0,1,0.0,-19.8,normal_idle,0.0003,0.4,0.0,0.002,0.1403,0.0
2026-08-15 11:31:34,0.0,46.67,instantaneous_fallback,0.088,0.018,,0,0,-20.0,1,0.0,-20.0,normal_idle,0.0,0.4667,0.0,0.018,0.1651,0.0
2026-08-15 11:31:38,0.0,43.33,instantaneous_fallback,0.086,0.01,,0,0,-20.0,1,0.0,-20.0,normal_idle,0.0,0.4333,0.0,0.01,0.1527,0.0
2026-08-15 11:31:42,0.0,43.33,instantaneous_fallback,0.09,0.005,,0,0,-20.0,1,0.0,-20.0,normal_idle,0.0,0.4333,0.0,0.005,0.1522,0.0
2026-08-15 11:31:46,0.05,40.0,instantaneous_fallback,0.094,0.007,,3,3,-20.0,1,0.0,-20.0,normal_idle,0.0003,0.4,0.06,0.007,0.1528,0.0
2026-08-15 11:31:50,0.03,43.33,instantaneous_fallback,0.083,0.01,,0,0,-19.0,1,1.0,-19.8,normal_idle,0.0002,0.4333,0.0,0.01,0.1527,0.0
2026-08-15 11:31:54,0.0,46.67,instantaneous_fallback,0.055,0.002,,0,0,-19.0,1,0.0,-19.6,normal_idle,0.0,0.4667,0.0,0.002,0.1635,0.0
2026-08-15 11:31:58,0.11,43.33,instantaneous_fallback,0.08,0.015,,1,1,-19.0,1,0.0,-19.4,normal_idle,0.0007,0.4333,0.02,0.015,0.1574,0.0
2026-08-15 11:32:02,0.0,46.67,instantaneous_fallback,0.087,0.014,,0,0,-19.0,1,0.0,-19.2,normal_idle,0.0,0.4667,0.0,0.014,0.1647,0.0
