True_Label,Predicted_Label,Inference_Time_ms
2,2,2.2724000737071037
1,1,1.8042000010609627
1,1,1.851900015026331
2,2,1.7400000942870975
1,1,1.972300000488758
1,1,1.6546000260859728
2,2,1.7089999746531248
1,1,2.013100078329444
1,1,1.6931999707594514
1,1,1.5786000294610858
3,3,1.70519994571805
1,1,1.6394000267609954
0,0,1.599400071427226
2,1,1.774100004695356
2,2,1.8765999702736735
0,0,1.9003000343218446
0,0,1.6692000208422542
2,2,1.4732000418007374
2,2,1.675700070336461
1,1,1.5879999846220016
2,2,1.7346000531688333
3,3,1.5767000149935484
2,2,1.738899969495833
1,1,1.7173999221995473
1,1,1.6648999880999327
2,2,1.6841000178828835
1,1,1.6829000087454915
0,0,1.6105999238789082
0,0,1.6462000785395503
1,1,1.686900039203465
1,1,1.6516000032424927
1,1,1.590800005942583
2,2,1.6203999985009432
1,1,1.8348000012338161
1,1,1.661800080910325
1,1,1.549400039948523
2,2,1.6400000313296914
2,2,1.6222000122070312
1,1,1.554699963890016
1,1,1.6100999200716615
1,1,1.5749000012874603
0,0,1.6941999783739448
2,2,1.66680000256747
0,0,1.6189999878406525
1,1,1.7182000447064638
0,0,1.7041000537574291
1,1,1.7510000616312027
1,1,1.664999988861382
1,1,1.6980000073090196
2,2,1.6902999486774206
2,2,1.60030007828027
1,1,1.7764000222086906
1,1,1.7529999604448676
0,0,1.7173000378534198
1,1,1.657299930229783
1,1,1.804300001822412
0,0,1.7822999507188797
1,1,1.6667000018060207
2,2,1.629799953661859
1,1,1.7497999360784888
2,2,1.869700034148991
1,1,1.7956000519916415
1,1,1.5927000204101205
2,2,1.8325999844819307
0,0,1.6777000855654478
2,2,1.618300098925829
2,2,1.7004999099299312
2,2,1.698100008070469
0,0,1.780599937774241
0,0,1.7637000419199467
1,1,1.667700009420514
2,2,1.7947000451385975
2,2,1.8159999744966626
3,3,1.6415000427514315
1,1,1.9853999838232994
2,2,1.6464999644085765
1,1,1.6754999523982406
1,1,1.7366999527439475
2,2,1.8880999414250255
1,1,1.6938999760895967
2,2,1.6491999849677086
0,0,1.8182999920099974
1,1,1.664699986577034
0,0,1.5841000713407993
3,3,1.7237000865861773
1,1,1.7318999161943793
1,1,1.7189000500366092
1,1,1.8373000202700496
2,1,1.7405999824404716
2,2,1.789500005543232
1,1,1.6824000049382448
1,1,1.649899990297854
2,2,1.7333999276161194
2,2,1.6528000123798847
2,2,1.7997000832110643
1,1,1.7717999871820211
2,2,1.8750999588519335
1,1,1.624800032004714
2,2,1.6119999345391989
2,2,1.7628999194130301
1,1,1.8474000971764326
1,1,1.6255000373348594
2,2,1.8278000643476844
2,2,1.8276000628247857
1,1,1.6950999852269888
0,0,1.6401000320911407
1,1,1.7994999652728438
0,0,1.776800025254488
1,1,1.636300003156066
3,3,1.7661999445408583
1,1,1.7543000867590308
1,1,1.8727000569924712
2,2,1.7540999688208103
1,1,1.636300003156066
2,2,1.72149995341897
1,1,1.713200006633997
2,2,1.636600005440414
1,1,1.8013999797403812
2,2,1.7408999847248197
2,2,1.6808999935165048
1,1,1.7443000106140971
1,1,1.6238000243902206
1,1,1.7037999350577593
2,2,1.546700019389391
1,1,1.7093000933527946
2,2,1.6822000034153461
1,1,1.7189000500366092
1,1,1.624200027436018
0,0,1.7915000207722187
2,2,1.8086000345647335
2,2,1.6471999697387218
2,2,1.6557000344619155
1,1,1.7583000008016825
2,1,1.6611999599263072
2,2,1.779999933205545
2,2,1.676199957728386
2,2,1.7818999476730824
1,1,1.8746000714600086
1,1,1.7093999776989222
0,1,1.6359000001102686
1,1,1.6985000111162663
2,2,1.6415000427514315
0,0,1.6277000540867448
1,1,1.7230999656021595
1,1,1.770600094459951
1,1,1.7850999720394611
1,1,1.7749000107869506
2,2,1.9554999889805913
2,2,1.8286999547854066
2,1,1.7891000024974346
1,1,1.7155999084934592
1,1,1.7210999503731728
1,1,1.7433000029996037
1,1,1.8221000209450722
1,1,1.9145999103784561
2,2,1.6596999485045671
0,0,1.7800000496208668
0,0,1.553499954752624
1,1,1.7788999248296022
0,0,1.7369999550282955
0,0,1.6189999878406525
1,1,2.0392000442370772
1,1,1.9651000620797276
1,1,1.7235999694094062
2,2,1.7068000743165612
2,2,1.74809992313385
0,0,1.70700007583946
1,1,1.6875999281182885
1,1,1.9036999437958002
3,3,1.78980000782758
0,0,1.6833000117912889
1,1,1.6533000161871314
1,1,1.8248000415042043
1,1,1.6813999973237514
0,0,1.672700047492981
1,1,1.7071000766009092
0,0,1.7658999422565103
2,2,1.6621999675408006
2,2,1.792999915778637
0,0,1.891600084491074
0,0,1.753699965775013
0,0,1.6828000079840422
1,1,1.6453999560326338
2,2,1.5670000575482845
1,1,1.5745999990031123
2,2,1.6160999657586217
1,1,1.812000060454011
2,2,1.7452000174671412
1,1,1.6974000027403235
3,3,1.6683000139892101
2,2,1.6017999732866883
2,2,1.6997000202536583
1,1,1.6787999775260687
2,2,1.5620000194758177
3,3,1.940299989655614
2,2,1.782999956049025
1,1,1.5888999914750457
2,2,1.7687000799924135
2,2,1.8137999577447772
1,1,1.7782000359147787
1,1,1.8022999865934253
2,2,1.7704999772831798
1,1,1.829999964684248
2,2,1.7364999512210488
1,0,1.8567000515758991
1,1,1.7503999406471848
1,1,1.7801999347284436
1,1,1.651400001719594
2,2,1.7819999484345317
1,1,1.6801999881863594
1,1,1.5466000186279416
1,1,1.7257999861612916
3,3,1.8267000559717417
1,1,1.6699000261723995
2,2,1.9917999161407351
2,2,1.7253999831154943
1,1,1.6417000442743301
2,2,1.6700000269338489
1,1,1.585699967108667
0,0,1.7672000685706735
1,1,1.6663999995216727
1,1,1.7232999671250582
1,1,1.7655000556260347
2,2,1.7582000000402331
2,2,1.8215000163763762
1,1,1.626300043426454
0,0,1.7154000233858824
1,1,1.6439000610262156
1,1,1.6431999392807484
0,0,1.7004000255838037
1,1,1.6505999956279993
2,2,1.8823000136762857
1,1,1.8538000294938684
1,1,1.740999985486269
1,1,1.724999980069697
1,1,1.6354999970644712
0,1,1.711999997496605
1,1,1.7400000942870975
1,1,1.789200003258884
2,2,1.6540000215172768
2,2,1.7709999810904264
1,1,1.8500000005587935
0,0,1.7528999596834183
2,2,1.6473999712616205
2,2,1.724500092677772
0,0,1.7149000195786357
2,2,1.5840999549254775
1,1,1.64899998344481
1,1,1.741599990054965
1,1,1.748700044117868
2,2,1.6444000648334622
2,2,1.61210005171597
2,3,1.8118999432772398
1,1,1.743400003761053
2,2,1.6243000281974673
1,1,1.6816999996080995
2,2,1.7833999590948224
1,1,1.7927000299096107
1,1,1.7386000836268067
1,1,1.5888999914750457
2,2,1.8195000011473894
0,0,1.8242000369355083
0,0,1.8844000296667218
1,1,1.6714000375941396
1,1,1.6245999140664935
2,2,1.693099969998002
1,0,1.6830000095069408
0,1,1.6858000308275223
2,2,1.6731999348849058
1,1,1.5595000004395843
1,1,1.726499991491437
1,1,1.6081000212579966
1,1,1.5588999958708882
2,2,1.6057000029832125
2,2,1.6891000559553504
2,2,1.6827000072225928
2,2,1.7050000606104732
2,1,1.6879000468179584
1,1,1.6589999431744218
2,2,1.631299965083599
1,1,1.6047999961301684
1,1,1.6989000141620636
3,3,1.7231000820174813
2,2,1.7630000365898013
0,0,1.73479993827641
1,1,1.6157999634742737
2,2,1.6802999889478087
2,2,1.6407000366598368
0,0,1.5385999577119946
1,1,1.7537999665364623
1,1,1.594599918462336
0,0,1.662599970586598
2,2,1.748700044117868
0,0,1.6287999460473657
2,2,1.6146000707522035
1,1,1.5897999983280897
2,2,1.5359000535681844
1,1,1.6241000266745687
1,1,1.6430000541731715
3,3,1.5492000384256244
2,2,1.5730999875813723
1,1,1.568900072015822
1,1,1.5861999709159136
0,0,1.6023999778553843
1,1,1.6790999798104167
2,2,1.5761000104248524
1,1,1.561200013384223
2,2,1.4896000502631068
1,1,1.550900051370263
0,0,1.6778999706730247
2,2,1.637800014577806
1,1,1.790100010111928
0,0,1.5951000386849046
1,1,1.589599996805191
3,3,1.5630999114364386
3,3,1.5429999912157655
1,1,1.5574999852105975
1,1,1.5713999746367335
3,3,1.563600031659007
0,0,1.5526000643149018
0,0,1.5411999775096774
1,1,1.5599000034853816
2,2,1.5406000893563032
0,0,1.509399968199432
1,1,1.5348999295383692
1,1,1.5717999776825309
1,1,1.554999966174364
2,2,1.513600000180304
3,3,1.5497999265789986
0,0,1.5716999769210815
1,1,1.768499962054193
3,3,1.602899981662631
1,1,1.6138999490067363
2,2,1.5115999849513173
1,1,1.5613000141456723
2,2,1.6281999414786696
2,2,1.6092000296339393
2,2,1.494400086812675
1,1,1.5720000956207514
0,0,2.05629994161427
2,2,1.2465000618249178
1,1,1.1618999997153878
2,2,1.1292999843135476
0,0,1.104000024497509
0,0,1.106400042772293
2,2,1.0631999466568232
1,1,1.0610000463202596
3,3,1.06519996188581
0,0,1.0576999047771096
1,1,1.0300999274477363
0,0,1.061400049366057
