timestamp,scenario,poll_interval_s,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,channel_rx_time_percent,channel_tx_time_percent,channel_ext_busy_percent,noise_dbm,latency_ms,probe_jitter_ms,probe_loss_pct,probe_ok,packet_loss_udp_percent,tx_retx_delta,tx_packets_delta,tx_retry_ratio,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,sta_tx_bitrate_min,sta_tx_bitrate_mean,throughput_score,occupancy_score,jitter_score,loss_score,latency_score,retry_score,congestion_score,label
2026-09-01 22:50:07,smallpkt_light_bursty_20260901,0.0,0.0,17.24,instantaneous,,,,-87.0,1.808,,,0,,0,0,0.0,-44.67,3,0.0,-44.67,0.0,0.0,0.0,0.1077,0.0,0.0,0.0075,0.0,0.1077,0
2026-09-01 22:50:09,smallpkt_light_bursty_20260901,1.008,0.37,8.62,delta,,,,-85.0,3.571,0.98,0.0,1,,0,204,0.0,-44.67,3,0.0,-44.67,72.2,111.1,0.0025,0.0539,0.0123,0.0,0.0149,0.0,0.0539,0
2026-09-01 22:50:10,smallpkt_light_bursty_20260901,1.009,0.54,16.67,instantaneous_fallback,,,,-86.0,2.436,0.98,0.0,1,,4,237,0.009,-44.67,3,0.0,-44.67,135.0,135.0,0.0036,0.1042,0.0123,0.0,0.0101,0.0225,0.1042,0
2026-09-01 22:50:11,smallpkt_light_bursty_20260901,1.01,0.37,16.67,instantaneous_fallback,,,,-86.0,2.995,1.764,0.0,1,,4,141,0.0136,-45.0,3,-0.33,-44.75,52.0,101.0,0.0025,0.1042,0.0221,0.0,0.0125,0.034,0.1042,0
2026-09-01 22:50:12,smallpkt_light_bursty_20260901,1.013,4.78,16.67,instantaneous_fallback,,,,-86.0,2.436,1.764,0.0,1,,60,564,0.056,-47.0,3,-2.0,-45.2,52.0,80.0,0.0319,0.1042,0.0221,0.0,0.0101,0.14,0.1042,0
2026-09-01 22:50:13,smallpkt_light_bursty_20260901,1.014,0.21,17.24,instantaneous_fallback,,,,-85.0,2.671,1.764,0.0,1,,2,116,0.0526,-47.0,3,0.0,-45.67,52.0,101.0,0.0014,0.1077,0.0221,0.0,0.0111,0.1315,0.1077,0
2026-09-01 22:50:14,smallpkt_light_bursty_20260901,1.017,0.38,17.24,instantaneous_fallback,,,,-85.0,2.671,1.334,0.0,1,,12,211,0.0607,-46.67,3,0.33,-46.07,52.0,80.0,0.0025,0.1077,0.0167,0.0,0.0111,0.1517,0.1077,0
2026-09-01 22:50:16,smallpkt_light_bursty_20260901,1.009,0.52,17.24,instantaneous_fallback,,,,-87.0,2.671,1.334,0.0,1,,0,240,0.0578,-46.67,3,0.0,-46.47,39.0,73.5,0.0035,0.1077,0.0167,0.0,0.0111,0.1445,0.1077,0
2026-09-01 22:50:17,smallpkt_light_bursty_20260901,1.008,0.69,20.0,instantaneous_fallback,,,,-85.0,1.684,0.813,0.0,1,,136,238,0.133,-46.67,3,0.0,-46.8,39.0,64.5,0.0046,0.125,0.0102,0.0,0.007,0.415,0.125,0
2026-09-01 22:50:18,smallpkt_light_bursty_20260901,1.014,0.92,20.0,instantaneous_fallback,,,,-86.0,1.684,0.813,0.0,1,,18,276,0.1345,-46.33,3,0.33,-46.67,6.5,22.8,0.0061,0.125,0.0102,0.0,0.007,0.4225,0.125,0
